Año,Trimestre,Provincia,Usuarios totales,Accesos por cada 100 hogares,Banda ancha fija,Dial up,ADSL,Cablemodem,Fibra óptica,Wireless,Mbps (Media de bajada),Hasta 512 kbps,Entre 512 Kbps y 1 Mbps,Entre 1 Mbps y 6 Mbps,Entre 6 Mbps y 10 Mbps,Entre 10 Mbps y 20 Mbps,Entre 20 Mbps y 30 Mbps,Más de 30 Mbps
2022,1,Chaco,144119,44.06,144114,5,32391,64546,36662,8164,46,4610,1099,16888,21235,20898,13012,62946
2022,1,Chubut,171628,88.05,170701,927,44133,66667,9184,30592,13,1130,1677,61369,31856,3308,13871,14055
2022,1,Córdoba,1003803,85.76,1003729,74,195610,501799,235838,60843,50,1000,12782,165922,126009,73967,34892,577027
2022,1,Corrientes,142578,47.64,142574,4,40462,79093,10875,6774,38,670,4029,24563,25665,27077,10452,43631
2022,1,Entre Ríos,267926,63.7,267904,22,67159,138986,23091,26098,36,1070,5745,50075,4962,42294,21578,81757
2022,1,Formosa,54548,34.96,54548,0,16397,15927,5146,16876,30,970,4480,24113,6945,6613,7160,15028
2022,1,Jujuy,116509,58.06,116509,0,21307,60616,25949,4662,28,580,1761,22141,16321,37923,5760,35287
2022,1,La Pampa,109732,91.66,109560,172,8003,58978,21739,19903,15,3010,2223,62812,9869,12044,525,14400
2022,1,La Rioja,84303,78.77,84299,4,9103,59228,9546,6395,41,180,7780,3576,4692,23624,5645,45970
2022,1,Mendoza,275185,48.74,274399,786,49464,74145,123228,26969,26,1140,3355,51230,26407,74178,21566,95048
2022,1,Misiones,171508,49.04,171508,0,39147,91752,25178,7807,42,510,3873,35655,22261,26855,15854,58610
2022,1,Neuquén,149679,74.17,149208,471,28443,73200,24193,23098,43,1370,1123,39856,15623,11163,2654,71238
2022,1,Río Negro,157374,67.04,156821,553,38662,45366,38037,16815,31,1160,1383,35565,18859,26926,14144,37729
2022,1,Salta,197515,56.11,197510,5,44714,98667,40994,595,37,1140,1725,35576,68246,6313,2214,76838
2022,1,San Juan,88178,43.55,87888,290,34038,14449,11294,20723,12,260,2269,32356,11914,25144,2088,11916
2022,1,San Luis,119844,80.72,119659,185,7987,11296,31,71809,21,610,6430,8287,3837,9802,68612,13
2022,1,Santa Cruz,49102,43.34,48898,204,10537,23420,10766,3974,11,510,6898,12710,11502,12277,2628,2551
2022,1,Santa Fe,870479,77.3,870364,115,213486,444609,146552,45261,39,4680,12435,143796,208361,84787,58018,344170
2022,1,Santiago Del Estero,116461,47.17,116459,2,18118,87979,1093,6349,14,1780,1401,30220,6117,13542,8490,8309
2022,1,Tierra Del Fuego,52611,98.29,52298,313,13031,38700,416,1240,11,240,8940,12849,1564,18034,1767,982
2022,1,Tucumán,245584,57.39,245554,30,92532,62396,86174,3995,47,390,2212,36028,46961,21014,5211,133846
2021,4,Provincia de Buenos Aires,4509157,75.66,4502772,6385,426325,2706506,1176024,126887,60,37821,11026,352950,331292,297296,196021,3259793
2021,4,Capital Federal,1412119,111.27,1409935,2184,111360,1205128,60005,5679,83,5630,1695,47133,81899,66135,66755,1147939
2021,4,Catamarca,59090,55.25,59089,1,16385,13858,25100,1512,46,710,0,6038,7855,9804,3262,29827
2021,4,Chaco,143745,44.05,143740,5,35548,63145,34688,8005,42,4610,1120,18845,22678,21937,13692,58435
2021,4,Chubut,160308,82.57,159364,944,46361,57412,9655,28041,9,1260,1294,63698,39568,31175,578,2904
2021,4,Córdoba,986770,84.51,986693,77,212011,487489,217214,61277,46,1000,2479,184548,130892,76246,41198,538700
2021,4,Corrientes,135912,45.51,135908,4,42523,71183,10138,6778,36,670,6450,28830,26368,22922,10087,39911
2021,4,Entre Ríos,265046,63.16,265024,22,70459,133387,23452,25022,33,1070,3024,56043,49636,38295,24068,77290
2021,4,Formosa,53663,34.45,53663,0,17211,15111,5151,16018,29,840,0,22908,6983,6811,1135,13775
2021,4,Jujuy,113915,56.92,113915,0,22330,60511,24156,2927,27,580,1750,22446,16793,38134,5640,33421
2021,4,La Pampa,107007,89.57,106834,173,8175,58000,20192,19286,14,3010,4930,64840,9082,12259,4821,12184
2021,4,La Rioja,83128,77.92,83124,4,10387,56651,9446,6613,40,180,10,5018,5437,23559,5671,43424
2021,4,Mendoza,267587,47.51,266783,804,59842,71553,109667,24666,22,1560,1463,66428,30308,75214,18621,75031
2021,4,Misiones,171132,49.06,171132,0,41778,92068,22035,7649,39,510,50,41916,23554,26721,15954,54596
2021,4,Neuquén,147466,73.3,146989,477,29175,72761,23253,21531,40,1400,9400,42313,13264,10515,331,69217
2021,4,Río Negro,153753,65.69,153189,564,42037,44495,32212,16558,27,1560,1174,38373,19878,31255,413,36142
2021,4,Salta,199405,56.81,199399,6,46972,99808,39555,5882,34,1140,200,40673,69324,6642,3535,72622
2021,4,San Juan,79958,39.59,79667,291,35868,13102,11072,11423,11,440,1442,28906,10955,23978,3980,9800
2021,4,San Luis,118849,80.3,118662,187,8472,11064,30,7056,21,620,2640,8550,4276,9107,67363,9
2021,4,Santa Cruz,48486,43.05,48276,210,10790,22902,10031,4346,9,520,2970,20305,11641,13054,177,876
2021,4,Santa Fe,866441,77.09,866265,176,233427,444373,128856,43556,36,4670,5810,169706,206856,8569,62349,322015
2021,4,Santiago Del Estero,115861,47.05,115859,2,19032,86563,1088,6256,14,1780,9090,31915,61524,12205,8000,7537
2021,4,Tierra Del Fuego,52357,98.4,52042,315,13317,38148,426,1240,11,260,3850,13505,16534,16562,1748,1017
2021,4,Tucumán,238639,55.93,238609,30,97830,59022,78790,2511,45,390,970,37321,48736,21023,5326,125857
2021,3,Provincia de Buenos Aires,4251609,71.68,4246425,5184,585729,2595485,885613,120228,56,37193,31149,1108940,248153,141383,192797,2482266
2021,3,Capital Federal,1413405,111.27,1411797,1608,142902,1192107,42966,6059,78,2950,6030,156978,67013,39785,73502,1075229
2021,3,Catamarca,56254,52.71,56253,1,18413,11709,22331,1568,43,710,0,6755,8428,10517,1659,26618
2021,3,Chaco,139871,42.96,139868,3,38258,63659,27583,8018,39,3010,1120,22545,20986,23852,14412,49705
2021,3,Chubut,156066,80.71,155266,800,49269,55794,8946,23376,8,1040,1050,89168,26281,18538,532,1643
2021,3,Córdoba,946788,81.28,946726,62,229275,477223,167495,57617,42,990,2452,204989,141285,6505,47198,476459
2021,3,Corrientes,133819,44.9,133816,3,44805,69403,7542,6766,32,670,6450,29629,28478,24792,9687,35468
2021,3,Entre Ríos,260375,62.18,260360,15,74443,128752,20485,235,30,1070,3024,61354,59776,39114,16284,67961
2021,3,Formosa,52795,33.96,52795,0,18093,14111,4730,1569,27,3810,0,22778,7142,6978,1192,12707
2021,3,Jujuy,111158,55.69,111158,0,23554,60758,19926,2952,26,480,1750,23884,16417,37755,5610,29917
2021,3,La Pampa,100487,84.28,100371,116,9015,57881,17817,14479,13,2980,3130,65063,7395,8737,4023,10506
2021,3,La Rioja,82160,77.26,82157,3,11329,54744,9444,6613,39,180,10,5366,5979,23315,4868,42613
2021,3,Mendoza,255939,45.55,255320,619,91474,71247,70579,21811,13,360,310,151871,1264,62628,7596,21087
2021,3,Misiones,158528,45.57,158528,0,43230,89469,10969,7198,31,510,50,41932,25099,26079,14792,42291
2021,3,Neuquén,139809,69.71,139436,373,29650,73794,16455,1927,38,1120,3270,57441,8566,6234,3631,57919
2021,3,Río Negro,144585,61.97,144084,501,47934,44519,18725,15031,25,1250,5570,68991,373,1488,2282,34011
2021,3,Salta,195833,55.96,195831,2,49212,98318,36126,5724,31,1010,200,41431,70104,6962,3878,67010
2021,3,San Juan,79483,39.46,79227,256,40072,12922,6670,11372,7,180,3330,59873,7520,1325,3380,278
2021,3,San Luis,117864,79.87,117716,148,8417,11884,27,68856,22,600,0,11552,2405,6491,67942,22
2021,3,Santa Cruz,48976,43.75,48779,197,12347,22961,6328,4269,8,500,0,30561,8365,6799,1788,678
2021,3,Santa Fe,841584,75.02,841433,151,245929,443156,93412,43447,33,4670,5790,193207,20125,83941,5508,290793
2021,3,Santiago Del Estero,115458,47.0,115457,1,19939,85535,909,6147,13,1230,9090,32752,61838,11274,8010,6863
2021,3,Tierra Del Fuego,50223,94.95,49934,289,12853,36958,6,160,10,170,0,23723,13397,9782,1433,976
2021,3,Tucumán,232472,54.64,232447,25,104489,53868,70964,2408,42,320,970,39446,50293,21986,53,115154
2021,2,Provincia de Buenos Aires,4132351,70.0,4127167,5184,603255,2503830,854173,113546,53,37192,31178,1096049,244001,140322,236897,2337604
2021,2,Capital Federal,1400355,110.14,1398747,1608,148989,1175097,41318,558,73,2940,6030,157558,73568,43859,86655,1037752
2021,2,Catamarca,55744,52.34,55743,1,20305,9426,22331,1449,42,710,0,7219,9091,6828,4941,25388
2021,2,Chaco,140729,43.33,140726,3,39826,62948,27584,8018,37,3010,1120,23444,21574,24032,16069,47239
2021,2,Chubut,139237,72.29,138412,825,49271,41497,6081,23682,8,1040,1050,89639,22605,16604,3896,1112
2021,2,Córdoba,930880,80.12,930818,62,239780,467782,151855,55944,40,990,2452,201757,136516,6695,70824,442357
2021,2,Corrientes,129501,43.54,129498,3,46648,67262,3731,6557,30,670,6450,29419,27037,24524,10059,32697
2021,2,Entre Ríos,257632,61.66,257617,15,77836,124957,17856,23786,28,1070,3024,63518,55349,39468,18484,61605
2021,2,Formosa,51551,33.23,51551,0,19571,12509,3610,1569,24,3810,0,22364,731,746,1341,11077
2021,2,Jujuy,111848,56.18,111848,0,24738,60800,19611,2731,26,480,1750,24182,16577,37908,6070,29950
2021,2,La Pampa,97667,82.08,97551,116,9017,57014,17132,13209,12,2980,5540,64146,7769,8128,3399,9311
2021,2,La Rioja,81602,76.98,81599,3,11627,54255,9445,6245,39,180,10,5312,5971,23298,4825,42158
2021,2,Mendoza,229671,40.97,229052,619,91503,70834,44696,21811,13,360,310,137462,10886,56117,4403,20686
2021,2,Misiones,156176,45.01,156176,0,44960,87861,10376,5317,29,510,50,41643,25907,25811,16172,38308
2021,2,Neuquén,138250,69.14,137877,373,30083,72690,15619,19218,36,1120,3270,57713,8631,5871,5943,54008
2021,2,Río Negro,144084,61.94,143583,501,48189,43761,18727,15031,24,1250,5570,69356,3663,15019,3867,31488
2021,2,Salta,191639,54.93,191637,2,51396,96016,32050,5724,29,1010,200,42543,67012,7099,9654,58882
2021,2,San Juan,78933,39.28,78677,256,40072,12369,6673,11372,7,180,3330,59989,7840,1255,3400,278
2021,2,San Luis,122818,83.48,122670,148,8417,11308,28,6686,22,600,0,11752,2703,5418,65946,22
2021,2,Santa Cruz,48982,44.01,48785,197,12347,22967,6328,4269,8,500,0,30595,8463,6888,1575,676
2021,2,Santa Fe,840600,75.07,840449,151,256741,431915,90424,43997,31,4670,8960,202018,204077,80452,75195,262124
2021,2,Santiago Del Estero,114090,46.56,114089,1,20734,83770,909,5081,13,1230,9090,32034,62224,10359,8110,6064
2021,2,Tierra Del Fuego,35693,67.89,35404,289,12853,22504,6,140,9,170,0,21335,6913,458,4760,889
2021,2,Tucumán,233051,54.93,233026,25,110429,48359,71683,1837,40,320,970,40224,51648,23732,5022,109616
2021,1,Provincia de Buenos Aires,4060002,69.11,4054936,5066,629679,2452056,821597,98806,51,36939,31187,1108368,24052,163747,222061,2246313
2021,1,Capital Federal,1379673,108.42,1378283,1390,159805,1145093,39980,5559,68,1350,2440,159662,76753,56457,83255,1003041
2021,1,Catamarca,51968,48.9,51967,1,26316,4409,18688,3220,40,710,0,7423,8455,10115,7120,22996
2021,1,Chaco,139770,43.14,139767,3,43214,61251,25426,8004,34,3010,1120,24357,22102,27556,14496,42462
2021,1,Chubut,132340,68.99,131515,825,45501,40960,3444,23723,8,1060,1090,86986,21401,15392,2844,1112
2021,1,Córdoba,910881,78.59,910826,55,260350,444695,134634,54137,36,930,2386,211799,135092,74659,71984,402191
2021,1,Corrientes,126625,42.66,126622,3,49160,62876,3337,5949,26,670,5270,31544,26223,26169,9001,27641
2021,1,Entre Ríos,251963,60.44,251950,13,83688,118424,16846,20836,24,1050,2911,67255,5606,42432,15774,54600
2021,1,Formosa,50686,32.73,50686,0,20663,11412,2562,15669,21,560,0,22409,7569,7916,1215,9579
2021,1,Jujuy,110456,55.63,110456,0,32254,54324,17322,2677,27,490,1750,23735,17293,40649,5680,25609
2021,1,La Pampa,97105,81.78,96989,116,8946,58711,15779,12369,11,2980,5540,68200,7864,7611,2786,7368
2021,1,La Rioja,52628,49.81,52625,3,17363,34984,1,2500,13,180,10,36749,5968,4604,2150,5074
2021,1,Mendoza,218923,39.15,218308,615,91844,69295,38619,18332,13,280,400,134386,11216,52533,4061,16615
2021,1,Misiones,149387,43.17,149387,0,48292,82339,7064,4796,25,510,5240,40949,25503,27101,1405,32953
2021,1,Neuquén,133235,66.84,132862,373,30223,70457,14171,17752,34,1160,3270,56171,8443,5903,5677,50840
2021,1,Río Negro,141168,60.88,140667,501,48777,42192,17828,13994,22,1250,4660,70011,4187,13045,3642,29589
2021,1,Salta,187574,53.93,187572,2,54768,89187,31498,5669,27,1090,200,40785,68149,9164,8139,54889
2021,1,San Juan,78267,39.06,78011,256,40072,11589,6671,11482,7,250,1940,60439,8580,11494,3400,276
2021,1,San Luis,119154,81.24,119006,148,8417,10678,28,63826,22,580,0,11889,2926,4429,62913,22
2021,1,Santa Cruz,46065,41.65,45868,197,12347,23089,5975,4264,8,500,0,30655,8334,6987,1337,647
2021,1,Santa Fe,826127,73.92,825990,137,277012,421480,70976,3914,28,5180,8910,201632,204458,91846,65476,236924
2021,1,Santiago Del Estero,111641,45.67,111640,1,26468,75849,570,5158,12,1230,9090,33884,58464,8549,7000,4868
2021,1,Tierra Del Fuego,40422,77.35,40133,289,12853,27247,6,0,9,170,0,21379,1468,4317,4860,919
2021,1,Tucumán,231912,54.82,231890,22,147199,12185,69954,1834,38,290,970,42810,53416,25255,4188,103437
2020,4,Provincia de Buenos Aires,4033261,68.98,4028195,5066,635651,2441248,804991,93444,50,36939,31197,1109865,242243,214171,213588,2176242
2020,4,Capital Federal,1379530,108.31,1378140,1390,163060,1142528,39890,4815,67,1350,2440,160210,78123,60208,80269,1000073
2020,4,Catamarca,52396,49.41,52395,1,26870,5115,17856,3220,38,710,0,8843,874,11436,5910,20406
2020,4,Chaco,139091,43.03,139088,3,44332,61200,23687,7997,32,3010,1120,24782,22479,26802,15701,40949
2020,4,Chubut,130574,68.35,129749,825,45703,39756,3040,23363,7,1060,1090,88157,21824,12046,2818,1112
2020,4,Córdoba,902701,78.08,902646,55,267396,439322,125620,52827,35,1190,2386,214963,135262,82221,70013,384169
